text,ds_emotions,fireworks,ground_truth
I can imagine this becoming a thing if Rare/Lego can team up,['neutral'],"['optimism', 'excitement', 'curiosity']","['optimism', 'excitement']"
I’m not crying... I’m just cutting onions... I-I’m making lasagna..,['neutral'],"['amusement', 'embarrassment']",['embarrassment']
I appreciate your meme OP.,['neutral'],"['gratitude', 'amusement']","['approval', 'admiration']"
I have to imagine the camera lens part is utter BS.,['neutral'],"['annoyance', 'disgust', 'disapproval']","['disapproval', 'annoyance']"
Scorched Pizza! A true crime!,['neutral'],"['amusement', 'disapproval', 'surprise']","['annoyance', 'disgust']"
We're well past the demoralization phase. You're 20 years too late. The left has morphed into something unrecognizable now :(,['neutral'],"['disappointment', 'sadness', 'grief']","['remorse', 'sadness']"
Spoken like someone who has never faced off with a gorilla with a gun.,['neutral'],"['amusement', 'annoyance']",['disapproval']
Yo bud take a breather. It’s just b-ball,['neutral'],"['caring', 'relief', 'amusement']",['caring']
DmC fans love DMC 5 the fuck this is what i just don't understand we don't pick DMC or DmC WE LIKE BOTH there are no sides,['neutral'],"['annoyance', 'love', 'caring']","['disapproval', 'annoyance']"
That I’d have no way of verifying. Trolls can report things as well as normal users.,['neutral'],['annoyance'],['disapproval']
"Yes dude, exactly them who didn't call the pi that would have ended the game.",['neutral'],"['disapproval', 'annoyance']","['amusment', 'confusion']"
"Since it’s a commercial truck, the driver probably has a CDL.",['neutral'],['neutral'],['neutral']
"It took 8 years of healing before I could open my journals. Pace yourself, you'll heal, friend.",['neutral'],"['caring', 'optimism']",['caring']
That’s what I ended up doing lol,['neutral'],['amusement'],['approval']
"So, about that weather.",['neutral'],"['curiosity', 'amusement']",['neutral']
Big game tonight,['neutral'],"['excitement', 'nervousness']",['excitement']
Don’t get your hopes up for new armour,['neutral'],"['disappointment', 'disapproval']","['realization', 'disappintment']"
Human produce bad carbon dioxide too We should EAT OURSELVES ️,['neutral'],"['anger', 'amusement']",['disapproval']
at least you’re getting hit on,['neutral'],"['amusement', 'caring']",['sadness']
Hes a daywalker!,['neutral'],"['amusement', 'excitement']",['neutral']
